timestamp,method,users,W,alpha,blocked_users,eligible_users,overall_blocking_rate
2025-09-23 06:27:14,dp,100,3,1.0,7,100,0.07
2025-09-23 06:38:05,hungarian,100,3,1.0,11,100,0.11
2025-09-23 06:41:24,greedy,100,3,1.0,11,100,0.11
